0x00-0x17	unsigned integer 0x00..0x17 (0..23)
0x18	unsigned integer (one-byte uint8_t follows)
0x19	unsigned integer (two-byte uint16_t follows)
0x1A	unsigned integer (four-byte uint32_t follows)
0x1B	unsigned integer (eight-byte uint64_t follows)
0x20-0x37	negative integer -1-0x00..-1-0x17 (-1..-24)
0x38	negative integer -1-n (one-byte uint8_t for n follows)
0x39	negative integer -1-n (two-byte uint16_t for n follows)
0x3A	negative integer -1-n (four-byte uint32_t for n follows)
0x3B	negative integer -1-n (eight-byte uint64_t for n follows)
0x40-0x57	byte string (0x00..0x17 bytes follow)
0x58	byte string (one-byte uint8_t for n, and then n bytes follow)
0x59	byte string (two-byte uint16_t for n, and then n bytes follow)
0x5A	byte string (four-byte uint32_t for n, and then n bytes follow)
0x5B	byte string (eight-byte uint64_t for n, and then n bytes follow)
0x5F	byte string, byte strings follow, terminated by 'break'
0x60-0x77	UTF-8 string (0x00..0x17 bytes follow)
0x78	UTF-8 string (one-byte uint8_t for n, and then n bytes follow)
0x79	UTF-8 string (two-byte uint16_t for n, and then n bytes follow)
0x7A	UTF-8 string (four-byte uint32_t for n, and then n bytes follow)
0x7B	UTF-8 string (eight-byte uint64_t for n, and then n bytes follow)
0x7F	UTF-8 string, UTF-8 strings follow, terminated by 'break'
0x80-0x97	array (0x00..0x17 data items follow)
0x98	array (one-byte uint8_t for n, and then n data items follow)
0x99	array (two-byte uint16_t for n, and then n data items follow)
0x9A	array (four-byte uint32_t for n, and then n data items follow)
0x9B	array (eight-byte uint64_t for n, and then n data items follow)
0x9F	array, data items follow, terminated by 'break'
0xA0-0xB7	map (0x00..0x17 pairs of data items follow)
0xB8	map (one-byte uint8_t for n, and then n pairs of data items follow)
0xB9	map (two-byte uint16_t for n, and then n pairs of data items follow)
0xBA	map (four-byte uint32_t for n, and then n pairs of data items follow)
0xBB	map (eight-byte uint64_t for n, and then n pairs of data items follow)
0xBF	map, pairs of data items follow, terminated by 'break'
0xC0	text-based date/time (data item follows; see Section 3.4.1)
0xC1	epoch-based date/time (data item follows; see Section 3.4.2)
0xC2	unsigned bignum (data item 'byte string' follows)
0xC3	negative bignum (data item 'byte string' follows)
0xC4	decimal Fraction (data item 'array' follows; see Section 3.4.4)
0xC5	bigfloat (data item 'array' follows; see Section 3.4.4)
0xC6-0xD4	(tag) 
0xD5-0xD7	expected conversion (data item follows; see Section 3.4.5.2)
0xD8-0xDB	(more tags; 1/2/4/8 bytes of tag number and then a data item follow)
0xE0-0xF3	(simple value)
0xF4	false
0xF5	true
0xF6	null
0xF7	undefined
0xF8	(simple value, one byte follows)
0xF9	half-precision float (two-byte IEEE 754)
0xFA	single-precision float (four-byte IEEE 754)
0xFB	double-precision float (eight-byte IEEE 754)
0xFF	'break' stop code
